,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Gucci Make up,Gucci Eyes (01199),Gucci Mascara Ultra Volume (00006080),P_US_ALL_OTHERS,100.0,398.859649122807,53.881578947368425,0.6578947368421052,13.24561403508772,8.881578947368421,17.587719298245613,141.71052631578945,9.912280701754387,26.995614035087716,65.0,18.728070175438596,18.289473684210527,31.096491228070178,17.521929824561404,18.333333333333332,225.26315789473682,4.3201754385964914
Gucci Make up,Gucci Eyes (01199),Gucci Waterproof Mascara (00005649),P_US_ALL_OTHERS,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208095356344674,0.0,0.3724857213806804,0.6208095356344674,0.0,0.1862428606903402,0.3104047678172337,0.0,0.0,0.0
Gucci Make up,Gucci Face (01201),Gucci Beauty Powder No Talc (00007041),P_US_ALL_OTHERS,100.0,64.4572101929592,49.69804094859332,65.34099278244219,17.513624981587864,27.70658418029165,29.960229783473263,18.839298865812342,26.321991456768302,27.323611724849023,29.297392841361024,17.57254382088673,18.588893798792164,,,,,
Gucci Make up,Gucci Face (01201),Gucci Cream (00006636),P_US_ALL_OTHERS,100.0,23.919681070919054,23.978346955373926,29.508939880801588,20.593058759216543,71.15505126598312,5.883921547712697,1.2933160891188118,4.711937174171011,4.3212757163237825,0.9613205157264569,3.075958987213504,0.8026559645871388,2.3973013693150755,,,,
Gucci Make up,Gucci Face (01201),Gucci Highlighting Powder (00006538),P_US_ALL_OTHERS,100.0,58.67077464788733,28.93926056338028,36.267605633802816,18.507922535211268,20.23180751173709,28.125,10.592723004694836,14.253227699530516,13.739730046948356,20.495892018779344,9.103579812206574,42.30487089201878,71.24413145539906,21.889671361502348,6.660798122065728,8.956866197183098,12.624706572769954
Gucci Make up,Gucci Lips (01200),Gucci Lip Gloss (00005667),P_US_ALL_OTHERS,100.0,16.28187658166245,11.870741678022192,17.823632470313413,23.640256959314776,1.2302900525598597,1.689702160794238,0.8175978197391474,3.4845240412692235,17.971578742456686,10.971384076309128,5.205372785672571,3.6013237298033873,3.0912984232042047,3.694763480630718,2.7759392641619622,5.516838621763675,1.8454350788397897
Gucci Make up,Gucci Lips (01200),Gucci Lip Gloss (00005667),P_US_ULTA,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gucci Make up,Gucci Lips (01200),Gucci Liquid Tint Lipstick (00007209),P_US_ALL_OTHERS,100.0,23.68396181835365,115.72630186182779,76.26878366884038,14.837917021075514,21.633115962574426,,,,,,,,,,,,
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner (00006014),P_US_ALL_OTHERS,100.0,69.62334675100632,458.03622771707876,976.5526164462335,754.6578493387004,27.645198389879237,472.6998274870615,129.34157561817136,111.31397354801611,231.75675675675674,672.6423231742381,278.637147786084,12.363427257044277,26.07820586543991,79.38470385278896,93.31512363427257,15.842438182863713,74.79873490511788
Kylie Jenner Fragrances,Cosmic Kylie Jenner (01246),Cosmic Kylie Jenner (00006014),P_US_ULTA,100.0,192.5405702040923,207.46073640473517,138.70828651318368,408.0369508976402,135.79193561031698,42.52227768050801,7.465962840044947,155.7961167585648,122.00198604541772,33.29500614106149,41.5135756657172,13.32871664880968,59.347479551571844,41.99832754070086,93.19256800898947,27.49366294718687,62.523845611100946
