House,PL,CFG,sellin_g,epos_g,gap,vol
Kylie Makeup,Kylie Gel Pencil (00006114),P_US_ULTA,-0.0664179104477612,-0.21243961352657004,0.14602170307880885,8757.0
Kylie Makeup,Kylie Mascara Cream (00006117),P_US_ULTA,-0.19893148962916404,-0.05800842276864557,-0.14092306686051848,22941.0
Kylie Makeup,Kylie Mascara Mini (00006119),P_US_ALL_OTHERS,-0.9551737377615666,-0.4171974522292994,-0.5379762855322672,1401.0
Kylie Makeup,Kylie Mascara Mini (00006119),P_US_ULTA,0.7798846153846154,-0.7362694300518134,1.5161540454364288,46277.0
Kylie Makeup,Kylie Blush Sticks (00006132),P_US_ULTA,-0.972027972027972,-0.8597141344626786,-0.11231383756529334,308.0
Kylie Makeup,Kylie Concealer (00006124),P_US_ALL_OTHERS,-0.846865437984772,-0.2706708268330733,-0.5761946111516987,2152.0
Kylie Makeup,Kylie Concealer (00006124),P_US_ULTA,0.7709577754891864,0.2996896779773109,0.47126809751187554,34392.0
Kylie Makeup,Kylie Foundation (00006130),P_US_ALL_OTHERS,-0.8109942954127576,-0.196917314894843,-0.6140769805179146,4009.0
Kylie Makeup,Kylie Foundation (00006130),P_US_ULTA,-0.5837837837837838,-0.6301863733577757,0.046402589573991904,4620.0
Kylie Makeup,Kylie Hybrid Blush (00006713),P_US_ALL_OTHERS,-0.2359578736208626,-0.4300801628705942,0.1941222892497316,6094.0
Kylie Makeup,Kylie Hybrid Blush (00006713),P_US_ULTA,0.8728539737654321,-0.07433329582536288,0.9471872695907949,77671.0
Kylie Makeup,Kylie Loose Powder (00006129),P_US_ULTA,-0.26924709277650455,-0.2696737044145873,0.00042661163808277447,8609.0
Kylie Makeup,Kylie Setting Spray (00006128),P_US_ULTA,-0.11879595588235294,-0.15112624410686223,0.0323302882245093,3835.0
Kylie Makeup,Kylie Skin Tint Foundation (00006730),P_US_ALL_OTHERS,0.7556148543473427,-0.03231518370960602,0.7879300380569487,31580.0
Kylie Makeup,Kylie Skin Tint Foundation (00006730),P_US_ULTA,0.6787081574555807,0.22367977553678955,0.45502838191879114,393323.0
Kylie Makeup,Accesories (00006010),P_US_ALL_OTHERS,-0.5321066308994886,-0.3193916349809886,-0.21271499591850002,11163.0
Kylie Makeup,Accesories (00006010),P_US_ULTA,1.0196976744186046,-0.028253123902243188,1.0479507983208478,86847.0
Kylie Makeup,Kylie High Gloss (00006100),P_US_ALL_OTHERS,-0.46534769374853663,-0.5059396096080381,0.04059191585950145,9134.0
Kylie Makeup,Kylie High Gloss (00006100),P_US_ULTA,-0.2042694026145954,-0.2588653255160088,0.054595922901413435,24043.0
Kylie Makeup,Kylie Matte Lip Kit (00006094),P_US_ALL_OTHERS,0.19592372151303938,-0.14822363425648402,0.3441473557695234,61083.0
Kylie Makeup,Kylie Matte Lip Kit (00006094),P_US_ULTA,-0.14721934671779394,-0.1700040795922706,0.02278473287447666,175469.0
Kylie Makeup,Kylie Matte Liquid Lipstick (00006096),P_US_ALL_OTHERS,-0.3087024259959938,-0.4288807101104135,0.12017828411441972,3106.0
Kylie Makeup,Kylie Matte Liquid Lipstick (00006096),P_US_ULTA,0.022954221242381015,-0.3792204568023833,0.4021746780447643,7888.0
Kylie Makeup,Kylie Plumping Gloss (00006105),P_US_ULTA,-0.29668236944973436,-0.43256694855532063,0.13588457910558627,14034.0
Kylie Makeup,Kylie Plumping Lip Liner (00006746),P_US_ULTA,0.2879567300626121,-0.028514776697195734,0.3164715067598078,43815.0
Kylie Makeup,Kylie Precision Pout Lip Liner (00006731),P_US_ALL_OTHERS,0.9167425760612133,-0.031098478515298445,0.9478410545765118,10521.0
Kylie Makeup,Kylie Precision Pout Lip Liner (00006731),P_US_ULTA,0.7590106947424446,0.2167899646188485,0.5422207301235962,105757.0
Kylie Makeup,Kylie Supple Kiss Lip Glaze (00006711),P_US_ALL_OTHERS,-0.18182860747154447,-0.3803435876947663,0.1985149802232218,28537.0
Kylie Makeup,Kylie Supple Kiss Lip Glaze (00006711),P_US_ULTA,-0.07086399975819492,-0.5341743647483304,0.46331036499013545,61480.0
Kylie Makeup,Kylie Supple Kiss Precision Lip Kit (00007015),P_US_ALL_OTHERS,-0.06975251408601384,-0.09309731197902033,0.02334479789300649,13043.0
Kylie Makeup,Kylie Supple Kiss Precision Lip Kit (00007015),P_US_ULTA,0.2012918783911808,-0.2020143191380401,0.4033061975292209,139482.0
Kylie Makeup,Kylie Tinted butter balm (00006700),P_US_ALL_OTHERS,-0.07013909440662917,-0.13059966816781227,0.06046057376118309,3142.0
Kylie Makeup,Kylie Tinted butter balm (00006700),P_US_ULTA,-0.5762764981084771,-0.6119237588652482,0.03564726075677105,18929.0
Kylie Makeup,Kylie Velvet Lip Kit (00006095),P_US_ALL_OTHERS,-0.05827650340979541,-0.4081858407079646,0.3499093372981692,4557.0
Kylie Makeup,Kylie Velvet Lip Kit (00006095),P_US_ULTA,-0.283036606146072,-0.2673229423024337,-0.015713663843638315,24404.0
