House,Brand,PL,CFG,vol,age,active,cv,trend,rep_yoy,conc,cut_rate,epos,archetype,score,band
Gucci,Gucci Guilty (00840),Gucci Guilty Absolute Pour Homme (00003472),P_US_ALL_OTHERS,156.0,36,0.9166666666666666,2.3072146522568953,-0.8799076212471132,0.0710159075071613,0.7663230240549829,0.0,True,LUMPY / EVENT-DRIVEN,50,FAIR
Gucci,Gucci Guilty (00840),Gucci Guilty Black (00003464),P_US_ALL_OTHERS,0.0,36,0.125,3.3663479094731756,-1.0,,1.0,0.0,False,INTERMITTENT,10,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty Black Pour Homme (00003465),P_US_ALL_OTHERS,312303.0,36,1.0,0.7822383423386368,-0.4052243766152393,-0.12762535679225853,0.33330507057727676,0.045432454984763136,True,DECLINING,65,GOOD
Gucci,Gucci Guilty (00840),Gucci Guilty Black Pour Homme (00003465),P_US_ULTA,159129.0,36,1.0,1.8282496247223232,0.45669168802636395,-0.2881016024131845,0.578781453893706,0.06540941820445656,True,LUMPY / EVENT-DRIVEN,45,FAIR
Gucci,Gucci Guilty (00840),Gucci Guilty Elixir PF (00006600),P_US_ALL_OTHERS,5482.0,36,1.0,0.8468839474581522,-0.6764254515405501,0.49810935508901716,0.3197021048876204,0.0,True,DECLINING,80,HIGH
Gucci,Gucci Guilty (00840),Gucci Guilty Elixir PF (00006600),P_US_ULTA,326.0,36,0.5416666666666666,2.6695096963417853,-0.9433831191385897,0.30436291196171145,0.9092702169625246,0.0,True,LUMPY / EVENT-DRIVEN,40,FAIR
Gucci,Gucci Guilty (00840),Gucci Guilty Elixir PH (00006599),P_US_ALL_OTHERS,42358.0,36,1.0,1.1178780759450617,-0.7738759996156351,0.19584280553165861,0.45355276907001046,0.002871939736346516,True,LUMPY / EVENT-DRIVEN,60,GOOD
Gucci,Gucci Guilty (00840),Gucci Guilty Elixir PH (00006599),P_US_ULTA,2957.0,36,1.0,1.3983410206550255,-0.5766642806012885,0.6885669395528998,0.5298732649366324,0.0,True,LUMPY / EVENT-DRIVEN,70,GOOD
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions (00006601),P_US_ALL_OTHERS,1018.0,20,0.375,2.0076092884288985,-0.9604568054692355,-0.20523073861405006,0.7490471564158134,0.0009813542688910696,False,INTERMITTENT,5,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions (00006601),P_US_ULTA,0.0,20,0.08333333333333333,3.31984827855018,-1.0,,1.0,0.0,False,INTERMITTENT,5,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions F (00007090),P_US_ALL_OTHERS,69044.0,21,0.875,1.3701269944778944,-0.4866197235461636,0.02474915562743359,0.5026555890199623,0.011991643055436306,True,LUMPY / EVENT-DRIVEN,35,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions F (00007090),P_US_ULTA,38887.0,21,0.875,1.7415992321206544,0.26775118993284214,0.16464416238243904,0.6221589683874585,0.009727775089765463,True,LUMPY / EVENT-DRIVEN,35,LOW
Gucci,Gucci Guilty (00840),Gucci Guilty Limited Editions M (00007089),P_US_ALL_OTHERS,73510.0,21,0.875,1.1234244963111397,-0.5340715340588574,0.40717619332549787,0.4074524063801177,0.021406320722063953,True,LUMPY / EVENT-DRIVEN,55,FAIR
